nome,instagram,categoria_principal,categorias_exibicao,subcategoria_final,acao_sugerida,observacao,posts_no_ano,ultimo_post,telefone,endereco,ja_no_guia,resumo,links_posts
Fitclass Vila Mascote,@fitclassvilamascote,"Academias, Esportes & Bem-Estar","Academias, Esportes & Bem-Estar",Academia/Fitness,Listar,,1,2026-05-04,11999698754,"Av. Santa Catarina, 2.209",não,"⚠️ NOVIDADE NA REGIÃO! A @fitclassvilamascote está chegando por aqui e já promete movimentar a rotina com uma proposta cheia de energia. 💪🤩 A rede, que nasceu na zona sul de São Paulo, já soma 23 anos de história e agora inicia sua expansão com a nova unidade aqui pertinho, na Catarina. 😍🏋️‍♀️ E, antes mesmo da inauguração oficial, já dá pra sentir um gostinho do que vem por aí. No próximo sábado, dia 09/05 acontece ",https://www.instagram.com/p/DX7iMfnhos6/
Hipsuplementos,@hipsuplementos,"Academias, Esportes & Bem-Estar","Academias, Esportes & Bem-Estar | Mercados, Emporios & Conveniencia",Suplementos,Listar,,2,2026-01-30,11940750757; 1128944166,"Av. Santa Catarina, 915 - Loja 4 (ao lado da Smart Fit e Academia Pano Bianco)",não,"Fomos visitar a @hipsuplementos, que é referência em suplementação esportiva e fica aqui pertinho, na Catarina. 🏋🏻💊 A loja tem mais de 10 anos de história e trabalha com whey, creatina, pré-treinos, termogênicos, géis de carboidrato e muito mais. Tudo com atendimento atencioso e personalizado. ✅😊 Para completar, o pagamento é facilitado: aceitam dinheiro, Pix, vale-refeição, vale-alimentação e parcelamento em até 3x ",https://www.instagram.com/p/DUI7MiFDunx/; https://www.instagram.com/p/DNDrYUqsZoO/
Studio Velocity,@studio_velocity,"Academias, Esportes & Bem-Estar","Academias, Esportes & Bem-Estar",Bike indoor,Listar,,1,2026-02-04,,"A Velocity tá chegando na Vila Mascote pra alegria dos moradores, afinal essa notícia era muito aguardada aqui no bairro. A nova unidade vai ficar na Av. Mascote, 233, no ponto onde funcionava a Loftstyle. As obras já começaram e a previsão de inauguração é início de maio.; Av. Mascote, 233, no ponto onde funcionava a Loftstyle. As obras já começaram e a previsão de inauguração é início",não,"A Velocity tá chegando na Vila Mascote pra alegria dos moradores, afinal essa notícia era muito aguardada aqui no bairro. A nova unidade vai ficar na Av. Mascote, 233, no ponto onde funcionava a Loftstyle. As obras já começaram e a previsão de inauguração é início de maio. A Velocity (@studio_velocity) é uma das redes mais conhecidas de bike indoor do país, com estúdios espalhados por várias cidades, aulas coletivas ",https://www.instagram.com/p/DUWC_5fjsLa/
Velocity Vilamascote,@velocity.vilamascote,"Academias, Esportes & Bem-Estar","Academias, Esportes & Bem-Estar",Bike indoor,Listar,,1,2026-05-18,11998046780,"Avenida Mascote, 233",não,"Tem novidade chegando aqui no bairro!⚠️ A @velocity.vilamascote promete muito mais do que uma simples aula de bike. A proposta da nova unidade é unir música, movimento, corpo e mente em uma experiência totalmente imersiva. 🚴😍 Tudo isso com salas escuras, playlists animadas, instrutores cheios de energia e aquela sensação de treino que muita gente já virou fã em São Paulo. 💪🚲 E a melhor parte: a unidade aqui da Mascot",https://www.instagram.com/p/DYfAWAjOg8Q/
Yogavilamascote,@yogavilamascote,"Academias, Esportes & Bem-Estar","Academias, Esportes & Bem-Estar",Academia/Fitness,Listar,,4,2025-11-23,11999467026,"Av. Mascote, 486 – sala 12; Av. Mascote, 486 - sala 12, Vila Mascote/SP; Avenida Mascote, 486 - sala 12 vila Mascote/SP; Avenida Mascote, 486- sala 12",sim,"🌿 Dica especial para quem é da Vila Mascote! Se você busca um refúgio de bem-estar no bairro, precisa conhecer o @yogavilamascote, um espaço dedicado a aliviar dores, melhorar o sono e trazer mais foco e tranquilidade para o dia a dia. 🧘‍♀️✨ Presente na região há mais de três anos, o estúdio já faz parte da rotina dos moradores que desejam equilíbrio entre corpo e mente. As aulas acontecem em grupos pequenos, com ate",https://www.instagram.com/p/DRZnOw6jrUa/; https://www.instagram.com/p/DPpGiyCjnjL/; https://www.instagram.com/p/DOeYQJIju-v/; https://www.instagram.com/p/DKsVXN5uKhD/
Barbierobarbearia,@barbierobarbearia,Beleza & Estetica,Beleza & Estetica,Barbearia,Listar,,3,2025-10-29,11910718528,"Av. Mascote, 501",não,"🎫 10% OFF NO PRIMEIRO SERVIÇO + 20% OFF NO CLUBE DE ASSINATURA Se você procura uma barbearia com serviço de qualidade aqui na Mascote, a @barbierobarbearia é uma ótima opção. ☺️💈 O espaço é voltado para o público masculino, com estrutura moderna, atendimento de primeira e um diferencial que chama atenção: o Clube Barbiero. Sendo sócio, dá para cortar cabelo e fazer a barba à vontade, além de ter descontos em todos os",https://www.instagram.com/p/DQZcXXHDmkM/; https://www.instagram.com/p/DNRMXl2uIun/; https://www.instagram.com/p/DMGeHmTOKgm/
Botocenter.vilamascote,@botocenter.vilamascote,Beleza & Estetica,Beleza & Estetica | Saude & Clinicas,Estetica clinica,Listar,,11,2026-05-07,11937230872,"Rua Nilo Guerra, 160; Rua Palestina, 317",sim,"🎫 NA COMPRA DE 2 PROCEDIMENTOS OU MAIS, GANHE UMA BOLSA EXCLUSIVA BOTOCENTER Que tal presentear aquela pessoa que sempre esteve ao seu lado com o cartão-presente da @botocenter.vilamascote? 💞 Na unidade aqui do bairro, você encontra vários serviços, como toxina botulínica (Dysport), preenchedores, como o preenchimento labial (Restylane Kysse), preenchimento de bigode chinês (Restylane), ultrassom microfocado HIFU (Ul",https://www.instagram.com/p/DYCqsf5OmnQ/; https://www.instagram.com/p/DXHbevmDYD5/; https://www.instagram.com/p/DV8wIV4Dp0g/; https://www.instagram.com/p/DUs6nWvjoH8/; https://www.instagram.com/p/DTiRPAqjoqA/; https://www.instagram.com/p/DSDAYjgjqX0/; https://www.instagram.com/p/DRcXwnYjsYb/; https://www.instagram.com/p/DQCO-qmDg_H/; https://www.instagram.com/p/DOZU7DBDiE4/; https://www.instagram.com/p/DM_KDbNOzJh/; https://www.instagram.com/p/DL0c4ZWPRiv/
Buddhaspa Vilamascote,@buddhaspa.vilamascote,Beleza & Estetica,Beleza & Estetica,Beleza & Estetica,Listar,,8,2026-05-06,11933479978; 1155653434,"Av. Mascote, 843 – Vila Mascote; Av. Mascote, 843 – Vila Mascote São Paulo; Av. Mascote, 843 – Vila Mascote, SP; Av. Mascote, 843 São Paulo/ SP",não,"Dica especial pra quem mora na Vila Mascote e quer acertar em cheio no presente de Dia das Mães 💝✨ A gente descobriu uma experiência linda no @buddhaspa.vilamascote: o Mini Day Spa Mãe e Filha 🧖‍♀️🌿 E olha… não é só um presente, é um momento que fica pra sempre. Sabe aquela pausa que a rotina nunca deixa acontecer? Aqui ela vira realidade. É tempo de qualidade, conexão de verdade, relaxamento profundo e muito carinho",https://www.instagram.com/p/DYA-5V1OlfH/; https://www.instagram.com/p/DW7iwMcDgfc/; https://www.instagram.com/p/DVzHMNpjy5w/; https://www.instagram.com/p/DUrDv6djhpf/; https://www.instagram.com/p/DTX-EugDjAj/; https://www.instagram.com/p/DRneAnNDmRz/; https://www.instagram.com/p/DQaJaGyjiiH/; https://www.instagram.com/p/DPAAsj0DrXg/
Clínicamvbeauty,@clinicamvbeauty,Beleza & Estetica,Beleza & Estetica | Saude & Clinicas,Estetica clinica,Listar,,3,2026-04-10,11912480396,"Avenida Mascote, 151",não,"🎫 10% OFF PARA OS NOSSOS SEGUIDORES Você sabia que a @clinicamvbeauty oferece o serviço de Head Spa? 🤔 Pra quem não conhece, é um ritual de relaxamento profundo que utiliza o toque e a água para proporcionar descanso mental e corporal. O serviço oferece uma imersão sensorial completa, combinando iluminação suave, óleos essenciais e sons de baixa frequência com o fluxo contínuo de uma cascata de água morna.💦🧘🏻‍♀️ Dura",https://www.instagram.com/p/DW9GxnUju8-/; https://www.instagram.com/p/DV1AVz1jmCh/; https://www.instagram.com/p/DU8YXDOjmV8/
Espaco.artnails,@espaco.artnails,Beleza & Estetica,Beleza & Estetica,Unhas / estetica,Listar,,7,2026-01-17,11912480396; 11996811716,"Avenida Mascote, 151",sim,"⚠️ NOVIDADE NA MASCOTE O @espaco.artnails agora passa a se chamar Clínica MV Beauty! 🤩💫 A clínica entra em uma nova fase, com foco total em saúde, estética e bem-estar aqui no bairro. Entre os serviços que passam a fazer parte da clínica estão: • Head SPA • Tricologia • Harmonização de glúteos • Harmonização facial • Emagrecimento com consulta nutricional • Bem-estar de forma integrada Os serviços de unhas serão desc",https://www.instagram.com/p/DTnL8cfjrf_/; https://www.instagram.com/p/DScuoqGjvE-/; https://www.instagram.com/p/DRClIIwjj5j/; https://www.instagram.com/p/DOip_p6DujG/; https://www.instagram.com/p/DNQjluMO89y/; https://www.instagram.com/p/DL2e-0EOM4n/; https://www.instagram.com/p/DLC-ia9OuzL/
Fastescova Vilamascote,@fastescova.vilamascote,Beleza & Estetica,Beleza & Estetica,Salao / escovaria,Listar,,4,2025-09-25,11978227978,"Av. Mascote, 419 – São Paulo/SP",não,"✨ Você já pensou como é a correria nos bastidores de um salão de beleza? 💇‍♀️ A gente acompanhou de perto um dia de trabalho da proprietária da @fastescova.vilamascote, Mariana Abreu (@marirabreu), um espaço que já conquistou as moradoras aqui do bairro. 💛 O diferencial? A Fast Escova é especialista em escovas rápidas e penteados práticos, tudo sem precisar marcar horário. Funciona todos os dias, inclusive domingos e",https://www.instagram.com/p/DPCwECYjtI7/; https://www.instagram.com/p/DN895pWDtN1/; https://www.instagram.com/p/DMlLXA0RzBO/; https://www.instagram.com/p/DLYMlByRfQL/
Fecarvalho Makeup,@fecarvalho_makeup,Beleza & Estetica,Beleza & Estetica,Maquiagem,Listar,,2,2025-11-19,11992815975,"Rua Palestina, 18 - sala 01; Rua Palestina,18- sala 1",não,"🎫DESCONTOS ESPECIAIS DE BLACK FRIDAY DE ATÉ 50% O studio @fecarvalho_makeup é parada obrigatória para quem quer ficar linda e estilosa ao mesmo tempo. 😍💁🏻‍♀️ A Fernanda é maquiadora profissional com anos de experiência e tem um talento único pra realçar a beleza de cada pessoa. Ela transforma o visual e a energia de quem passa por lá, sempre com produtos de alta qualidade e muito carinho.💄☺️ Além do serviço de maquia",https://www.instagram.com/p/DRPf3_rDj7X/; https://www.instagram.com/p/DP38nLqjsgs/
Janasestetica,@janasestetica,Beleza & Estetica,Beleza & Estetica | Saude & Clinicas,Estetica clinica,Listar,,4,2025-09-17,11999120420,"Av. Mascote, 1291 - sala 2, Vila Mascote - São Paulo/SP; Av. Mascote, 1291 - sala 2 Vila Mascote - São Paulo/SP; Av. Mascote, 1291 - sala 2; Av. Mascote, 1291, sala 2 – Vila Mascote, São Paulo/SP",sim,"✨ Pensando em começar um tratamento estético? A dica é iniciar com uma boa limpeza de pele e o endereço certo é a clínica da Janaina Saraiva, aqui na Vila Mascote. 💆‍♀️✨ A @janasestetica oferece a Limpeza de Pele 4D Premium, que combina dois protocolos exclusivos e entrega um drug delivery poderoso: os ativos penetram melhor na pele, trazendo nutrição e luminosidade imediata. Tudo isso com o auxílio do Peeling Ultras",https://www.instagram.com/p/DOt1-huDtIK/; https://www.instagram.com/p/DNWWAVBxMzm/; https://www.instagram.com/p/DMOQQZDRCwG/; https://www.instagram.com/p/DK0JSNvR4Cu/
Lemes Barbearia,@lemesbarbearia,Beleza & Estetica,Beleza & Estetica,Barbearia,Listar,,1,2026-03-07,1125975373; 11982973631,"Rua Palestina 136, Vila Mascote São Paulo/ SP",sim,"Barbearia tradicional da Vila Mascote localizada na Rua Palestina, 136. Atende cortes masculinos, barba e cortes infantis, e ja apareceu no perfil @vila.mascote em comemoracao aos seus 10 anos de historia no bairro.",https://www.instagram.com/p/DVmS07hDl83/
Ted Barbearia,@ted_barbearia,Beleza & Estetica,Beleza & Estetica,Barbearia,Listar,,1,2026-04-09,11952466470,"Rua Coriolano Durand, 655; Av. Santa Catarina, 2.567; Av. Cupecê, 3.612",não,"A @ted_barbearia tem 5 anos de história e conta com 3 unidades na região, sempre mantendo aquele padrão que a gente valoriza. 💈☺️ Por lá, você encontra serviços completos de barbearia e corte masculino, tanto para adultos quanto para o público infantil, o que facilita muito a rotina de quem busca praticidade no dia a dia. 💇🏽‍♂️🤝 Os profissionais têm anos de experiência e isso aparece no atendimento, que é daqueles qu",https://www.instagram.com/p/DW6jKSQjmms/
Valen Vilakidsebarber,@valen.vilakidsebarber,Beleza & Estetica,Beleza & Estetica | Infantil & Familia,Barbearia infantil,Listar,,1,2026-03-13,11981090765,"Avenida Damasceno Vieira, 1027",não,"🎫 10% OFF EM QUALQUER SERVIÇO ⚠️ NOVIDADE NA MASCOTE! A @valen.vilakidsebarber acabou de inaugurar aqui no bairro e já chama atenção por uma proposta diferente: um espaço pensado especialmente para as crianças. 💈🧒🏽🥳 A barbearia conta com um ambiente totalmente voltado para os pequenos, com brinquedos e videogame para deixar o momento do corte muito mais divertido. Uma ideia que faz a diferença para as famílias da reg",https://www.instagram.com/p/DV1m8SvDlPr/
Acaidabarravilamascote,@acaidabarravilamascote_,"Cafes, Padarias & Doces","Cafes, Padarias & Doces | Gastronomia & Delivery",Acai,Listar,,2,2026-03-01,11947284395,"Avenida Santa Catarina, 797",não,"Se você curte um açaí bem servido, mas não quer abrir mão da dieta, precisa experimentar a linha fitness do @acaidabarravilamascote_ .😋🍨 Serve tanto para pré quanto para pós-treino e vem com Whey Protein, Creatina, Glutamina e BCAA, pra te dar aquela força na academia. 💪🤩 Pra quem ainda não conhece, a loja fica aqui pertinho, na Catarina, e funciona no formato self-service! No Açaí da Barra, é tudo de fabricação próp",https://www.instagram.com/p/DVWCnRKFuXM/; https://www.instagram.com/p/DUGQdi8jqRC/
Coffeelandia_,@coffeelandia_,"Cafes, Padarias & Doces","Cafes, Padarias & Doces | Pets",Cafe pet friendly,Listar,,1,2025-06-12,11994139920,"Rua Lacedemônia, 413",sim,"Aqui no bairro tem um cantinho especial pra quem ama café e não abre mão da companhia do melhor amigo de quatro patas. A @coffeelandia_ é a primeira cafeteria pet-friendly, anexa a uma pet shop, da Mascote e já conquistou os nossos vizinhos.🍰🐕 O cardápio é completo: cafés de todas as moagens, bolos, tortas, croissants, croque monsieur, brownies, frappés e até opções para o almoço, como massas, omeletes e pratos vegan",https://www.instagram.com/p/DKzfwcNOlrv/
